Date,Plot,Trt,TrtName,NewTrt,GCC,Drop,Outlier_Notes,Notes
5/24/21,44,2,wet,amb w/ deluge,0.3417681,n,,
5/24/21,45,4,ambient (w/ del),amb,0.3385324,n,,
5/24/21,47,4,ambient (w/ del),amb,0.3393404,n,,
5/24/21,49,1,drought,dry w/ deluge,0.3609333,n,,"Image very crooked like phone tilted, may be distorted"
5/24/21,50,4,ambient (w/ del),amb,0.3454848,n,,
6/2/21,2,3,ambient (no del),amb,0.3920516,n,,
6/2/21,3,1,drought,dry w/ deluge,0.4129038,y,,"Image very crooked like phone tilted, may be distorted; also cropped flag out of lower corner (<2% of image missing)"
6/2/21,4,2,wet,amb w/ deluge,0.3763964,n,,
6/2/21,5,1,drought,dry w/ deluge,0.3687925,n,,"Image very crooked like phone tilted, may be distorted"
6/2/21,6,3,ambient (no del),amb,0.3639112,n,,
6/2/21,9,3,ambient (no del),amb,0.3585099,n,,
6/2/21,10,2,wet,amb w/ deluge,0.384289,n,,
6/2/21,11,2,wet,amb w/ deluge,0.3785901,n,,
6/2/21,12,4,ambient (w/ del),amb,0.3761725,n,,
6/2/21,13,2,wet,amb w/ deluge,0.3742934,n,,
6/2/21,14,1,drought,dry w/ deluge,0.4047121,n,,"Image very crooked like phone tilted, may be distorted; also cropped flag out of lower corner (<2% of image missing)"
6/2/21,15,1,drought,dry w/ deluge,0.3661309,n,,"Image very crooked from tilted phone, also cropped flag out of upper corner (<2% missing)"
6/2/21,16,2,wet,amb w/ deluge,0.3697902,n,,
6/2/21,18,3,ambient (no del),amb,0.3671549,n,,
6/2/21,19,1,drought,dry w/ deluge,0.3421471,n,,
6/2/21,20,2,wet,amb w/ deluge,0.3677031,n,,
6/2/21,21,4,ambient (w/ del),amb,0.3735713,n,,
6/2/21,22,1,drought,dry w/ deluge,0.3629373,n,,"Image very crooked like phone tilted, may be distorted, back half of plot photo very dark shadowed"
6/2/21,23,4,ambient (w/ del),amb,0.3665061,n,,
6/2/21,24,2,wet,amb w/ deluge,0.3662728,n,,"Cropped flag out of lower corner (small portion of image, <2% missing)"
6/2/21,26,4,ambient (w/ del),amb,0.3825512,n,,
6/2/21,28,3,ambient (no del),amb,NA,y,,Image missing – never cropped
6/2/21,29,4,ambient (w/ del),amb,0.3543423,n,,
6/2/21,30,2,wet,amb w/ deluge,0.3642202,n,,
6/2/21,31,3,ambient (no del),amb,0.3504968,n,,
6/2/21,32,4,ambient (w/ del),amb,0.3527545,n,,
6/2/21,33,1,drought,dry w/ deluge,0.3599354,n,,"Image very crooked like phone tilted, may be distorted"
6/2/21,34,3,ambient (no del),amb,0.3617983,n,,
6/2/21,35,4,ambient (w/ del),amb,NA,y,,Image missing – never cropped
6/2/21,37,2,wet,amb w/ deluge,0.3617714,n,,
6/2/21,38,1,drought,dry w/ deluge,NA,y,,Image missing – never cropped
6/2/21,39,3,ambient (no del),amb,0.3675269,n,,
6/2/21,41,1,drought,dry w/ deluge,0.3952433,y,,"Image very crooked like phone tilted, LIKELY distorted"
6/2/21,42,3,ambient (no del),amb,0.3555605,n,,"Image very crooked like phone tilted, may be distorted"
6/2/21,43,3,ambient (no del),amb,0.3653629,n,,
6/2/21,44,2,wet,amb w/ deluge,0.3617861,n,,
6/2/21,45,4,ambient (w/ del),amb,0.3514124,n,,
6/2/21,47,4,ambient (w/ del),amb,0.3656943,n,,
6/2/21,49,1,drought,dry w/ deluge,0.3823557,n,,"Image very crooked like phone tilted, may be distorted"
6/2/21,50,4,ambient (w/ del),amb,0.3705593,n,,
6/7/21,2,3,ambient (no del),amb,0.3904447,n,,
6/7/21,3,1,drought,dry w/ deluge,0.3922463,y,,"Image very crooked like phone tilted, LIKELY distorted and flag cropped out of one corner (<2% of image)"
6/7/21,4,2,wet,amb w/ deluge,0.3734183,n,,
6/7/21,5,1,drought,dry w/ deluge,0.3641158,n,,"Image very crooked like phone tilted, may be distorted and heavy shadows around edged of plot and from ridges of roof and my own shadow taking the photo"
6/7/21,6,3,ambient (no del),amb,0.3643144,n,,
6/7/21,9,3,ambient (no del),amb,0.3638798,n,,
6/7/21,10,2,wet,amb w/ deluge,0.373455,n,,
6/7/21,11,2,wet,amb w/ deluge,0.3703648,n,,
6/7/21,12,4,ambient (w/ del),amb,0.3769459,n,,
6/7/21,13,2,wet,amb w/ deluge,0.3706016,n,,
6/7/21,14,1,drought,dry w/ deluge,0.379285,n,,"Image very crooked like phone tilted, may be distorted"
6/7/21,15,1,drought,dry w/ deluge,0.3650027,n,,"Image very crooked like phone tilted, may be distorted, back half of plot photo very dark shadowed"
6/7/21,16,2,wet,amb w/ deluge,0.3711267,n,,
6/7/21,18,3,ambient (no del),amb,0.3638829,n,,
6/7/21,19,1,drought,dry w/ deluge,0.3516783,y,,"Image very crooked like phone tilted, LIKELY distorted"
6/7/21,20,2,wet,amb w/ deluge,0.3660883,n,,
6/7/21,21,4,ambient (w/ del),amb,0.3731033,n,,
6/7/21,22,1,drought,dry w/ deluge,0.3524774,n,,"Image very crooked like phone tilted, may be distorted"
6/7/21,23,4,ambient (w/ del),amb,0.3600634,n,,
6/7/21,24,2,wet,amb w/ deluge,0.3631913,n,,
6/7/21,26,4,ambient (w/ del),amb,0.378341,n,,
6/7/21,28,3,ambient (no del),amb,0.3442436,n,,
6/7/21,29,4,ambient (w/ del),amb,0.3516442,n,,
6/7/21,30,2,wet,amb w/ deluge,0.3613636,n,,
