doy,VWC,depth,Plot,Trt
136,33.52,15,15,dry w/ deluge
136,31.012,20,15,dry w/ deluge
136,36.647,25,15,dry w/ deluge
136,42.282,30,15,dry w/ deluge
136,42.615,35,15,dry w/ deluge
136,42.948,40,15,dry w/ deluge
136,41.601,45,15,dry w/ deluge
136,40.254,50,15,dry w/ deluge
136,34.579,55,15,dry w/ deluge
136,28.904,60,15,dry w/ deluge
136,24.462,65,15,dry w/ deluge
136,20.02,70,15,dry w/ deluge
136,22.571,75,15,dry w/ deluge
136,25.122,80,15,dry w/ deluge
136,25.342,85,15,dry w/ deluge
136,25.562,90,15,dry w/ deluge
137,36.436,10,15,dry w/ deluge
137,34.285,15,15,dry w/ deluge
137,32.134,20,15,dry w/ deluge
137,37.269,25,15,dry w/ deluge
137,42.404,30,15,dry w/ deluge
137,42.765,35,15,dry w/ deluge
137,43.126,40,15,dry w/ deluge
137,41.777,45,15,dry w/ deluge
137,40.428,50,15,dry w/ deluge
137,34.833,55,15,dry w/ deluge
137,29.238,60,15,dry w/ deluge
137,24.749,65,15,dry w/ deluge
137,20.26,70,15,dry w/ deluge
137,22.777,75,15,dry w/ deluge
137,25.294,80,15,dry w/ deluge
137,25.519,85,15,dry w/ deluge
137,25.744,90,15,dry w/ deluge
138,36.844,10,15,dry w/ deluge
138,35.05,15,15,dry w/ deluge
138,33.256,20,15,dry w/ deluge
138,37.891,25,15,dry w/ deluge
138,42.526,30,15,dry w/ deluge
138,42.915,35,15,dry w/ deluge
138,43.304,40,15,dry w/ deluge
138,41.953,45,15,dry w/ deluge
138,40.602,50,15,dry w/ deluge
138,35.087,55,15,dry w/ deluge
138,29.572,60,15,dry w/ deluge
138,25.036,65,15,dry w/ deluge
138,20.5,70,15,dry w/ deluge
138,22.983,75,15,dry w/ deluge
138,25.466,80,15,dry w/ deluge
138,25.696,85,15,dry w/ deluge
138,25.926,90,15,dry w/ deluge
139,37.252,10,15,dry w/ deluge
139,35.815,15,15,dry w/ deluge
139,34.378,20,15,dry w/ deluge
139,38.513,25,15,dry w/ deluge
139,42.648,30,15,dry w/ deluge
139,43.065,35,15,dry w/ deluge
139,43.482,40,15,dry w/ deluge
139,42.129,45,15,dry w/ deluge
139,40.776,50,15,dry w/ deluge
139,35.341,55,15,dry w/ deluge
139,29.906,60,15,dry w/ deluge
139,25.323,65,15,dry w/ deluge
139,20.74,70,15,dry w/ deluge
139,23.189,75,15,dry w/ deluge
139,25.638,80,15,dry w/ deluge
139,25.873,85,15,dry w/ deluge
139,26.108,90,15,dry w/ deluge
140,37.66,10,15,dry w/ deluge
140,36.58,15,15,dry w/ deluge
140,35.5,20,15,dry w/ deluge
140,39.135,25,15,dry w/ deluge
140,42.77,30,15,dry w/ deluge
140,43.215,35,15,dry w/ deluge
140,43.66,40,15,dry w/ deluge
140,42.305,45,15,dry w/ deluge
140,40.95,50,15,dry w/ deluge
140,35.595,55,15,dry w/ deluge
140,30.24,60,15,dry w/ deluge
140,25.61,65,15,dry w/ deluge
140,20.98,70,15,dry w/ deluge
140,23.395,75,15,dry w/ deluge
140,25.81,80,15,dry w/ deluge
140,26.05,85,15,dry w/ deluge
140,26.29,90,15,dry w/ deluge
141,37.1275,10,15,dry w/ deluge
141,36.24,15,15,dry w/ deluge
141,35.3525,20,15,dry w/ deluge
141,39.086875,25,15,dry w/ deluge
141,42.82125,30,15,dry w/ deluge
141,43.258125,35,15,dry w/ deluge
141,43.695,40,15,dry w/ deluge
141,42.3475,45,15,dry w/ deluge
141,41,50,15,dry w/ deluge
141,35.715625,55,15,dry w/ deluge
141,30.43125,60,15,dry w/ deluge
141,25.7925,65,15,dry w/ deluge
141,21.15375,70,15,dry w/ deluge
141,23.56,75,15,dry w/ deluge
141,25.96625,80,15,dry w/ deluge
141,26.196875,85,15,dry w/ deluge
141,26.4275,90,15,dry w/ deluge
142,36.595,10,15,dry w/ deluge
142,35.9,15,15,dry w/ deluge
142,35.205,20,15,dry w/ deluge
142,39.03875,25,15,dry w/ deluge
142,42.8725,30,15,dry w/ deluge
142,43.30125,35,15,dry w/ deluge
142,43.73,40,15,dry w/ deluge
142,42.39,45,15,dry w/ deluge
142,41.05,50,15,dry w/ deluge
142,35.83625,55,15,dry w/ deluge
142,30.6225,60,15,dry w/ deluge
142,25.975,65,15,dry w/ deluge
142,21.3275,70,15,dry w/ deluge
142,23.725,75,15,dry w/ deluge
142,26.1225,80,15,dry w/ deluge
142,26.34375,85,15,dry w/ deluge
142,26.565,90,15,dry w/ deluge
143,36.0625,10,15,dry w/ deluge
143,35.56,15,15,dry w/ deluge
143,35.0575,20,15,dry w/ deluge
143,38.990625,25,15,dry w/ deluge
143,42.92375,30,15,dry w/ deluge
143,43.344375,35,15,dry w/ deluge
143,43.765,40,15,dry w/ deluge
143,42.4325,45,15,dry w/ deluge
143,41.1,50,15,dry w/ deluge
143,35.956875,55,15,dry w/ deluge
143,30.81375,60,15,dry w/ deluge
143,26.1575,65,15,dry w/ deluge
143,21.50125,70,15,dry w/ deluge
143,23.89,75,15,dry w/ deluge
143,26.27875,80,15,dry w/ deluge
143,26.490625,85,15,dry w/ deluge
143,26.7025,90,15,dry w/ deluge
144,35.53,10,15,dry w/ deluge
144,35.22,15,15,dry w/ deluge
144,34.91,20,15,dry w/ deluge
144,38.9425,25,15,dry w/ deluge
144,42.975,30,15,dry w/ deluge
144,43.3875,35,15,dry w/ deluge
144,43.8,40,15,dry w/ deluge
144,42.475,45,15,dry w/ deluge
144,41.15,50,15,dry w/ deluge
144,36.0775,55,15,dry w/ deluge
144,31.005,60,15,dry w/ deluge
144,26.34,65,15,dry w/ deluge
144,21.675,70,15,dry w/ deluge
144,24.055,75,15,dry w/ deluge
144,26.435,80,15,dry w/ deluge
144,26.6375,85,15,dry w/ deluge
144,26.84,90,15,dry w/ deluge
145,34.9975,10,15,dry w/ deluge
145,34.88,15,15,dry w/ deluge
145,34.7625,20,15,dry w/ deluge
145,38.894375,25,15,dry w/ deluge
145,43.02625,30,15,dry w/ deluge
145,43.430625,35,15,dry w/ deluge
145,43.835,40,15,dry w/ deluge
145,42.5175,45,15,dry w/ deluge
145,41.2,50,15,dry w/ deluge
145,36.198125,55,15,dry w/ deluge
145,31.19625,60,15,dry w/ deluge
145,26.5225,65,15,dry w/ deluge
145,21.84875,70,15,dry w/ deluge
145,24.22,75,15,dry w/ deluge
145,26.59125,80,15,dry w/ deluge
145,26.784375,85,15,dry w/ deluge
145,26.9775,90,15,dry w/ deluge
146,34.465,10,15,dry w/ deluge
146,34.54,15,15,dry w/ deluge
146,34.615,20,15,dry w/ deluge
146,38.84625,25,15,dry w/ deluge
146,43.0775,30,15,dry w/ deluge
146,43.47375,35,15,dry w/ deluge
146,43.87,40,15,dry w/ deluge
146,42.56,45,15,dry w/ deluge
146,41.25,50,15,dry w/ deluge
146,36.31875,55,15,dry w/ deluge
146,31.3875,60,15,dry w/ deluge
146,26.705,65,15,dry w/ deluge
146,22.0225,70,15,dry w/ deluge
146,24.385,75,15,dry w/ deluge
146,26.7475,80,15,dry w/ deluge
146,26.93125,85,15,dry w/ deluge
146,27.115,90,15,dry w/ deluge
147,33.9325,10,15,dry w/ deluge
147,34.2,15,15,dry w/ deluge
147,34.4675,20,15,dry w/ deluge
147,38.798125,25,15,dry w/ deluge
147,43.12875,30,15,dry w/ deluge
147,43.516875,35,15,dry w/ deluge
147,43.905,40,15,dry w/ deluge
147,42.6025,45,15,dry w/ deluge
147,41.3,50,15,dry w/ deluge
147,36.439375,55,15,dry w/ deluge
147,31.57875,60,15,dry w/ deluge
147,26.8875,65,15,dry w/ deluge
147,22.19625,70,15,dry w/ deluge
147,24.55,75,15,dry w/ deluge
147,26.90375,80,15,dry w/ deluge
147,27.078125,85,15,dry w/ deluge
147,27.2525,90,15,dry w/ deluge
148,33.4,10,15,dry w/ deluge
148,33.86,15,15,dry w/ deluge
148,34.32,20,15,dry w/ deluge
148,38.75,25,15,dry w/ deluge
148,43.18,30,15,dry w/ deluge
148,43.56,35,15,dry w/ deluge
148,43.94,40,15,dry w/ deluge
148,42.645,45,15,dry w/ deluge
148,41.35,50,15,dry w/ deluge
148,36.56,55,15,dry w/ deluge
148,31.77,60,15,dry w/ deluge
148,27.07,65,15,dry w/ deluge
148,22.37,70,15,dry w/ deluge
148,24.715,75,15,dry w/ deluge
148,27.06,80,15,dry w/ deluge
148,27.225,85,15,dry w/ deluge
148,27.39,90,15,dry w/ deluge
149,33.374,10,15,dry w/ deluge
149,34.053,15,15,dry w/ deluge
149,34.732,20,15,dry w/ deluge
149,38.895,25,15,dry w/ deluge
149,43.058,30,15,dry w/ deluge
149,43.458,35,15,dry w/ deluge
149,43.858,40,15,dry w/ deluge
149,42.48,45,15,dry w/ deluge
149,41.102,50,15,dry w/ deluge
149,36.508,55,15,dry w/ deluge
149,31.914,60,15,dry w/ deluge
149,27.603,65,15,dry w/ deluge
149,23.292,70,15,dry w/ deluge
149,25.198,75,15,dry w/ deluge
149,27.104,80,15,dry w/ deluge
149,27.298,85,15,dry w/ deluge
149,27.492,90,15,dry w/ deluge
150,33.348,10,15,dry w/ deluge
150,34.246,15,15,dry w/ deluge
150,35.144,20,15,dry w/ deluge
150,39.04,25,15,dry w/ deluge
150,42.936,30,15,dry w/ deluge
150,43.356,35,15,dry w/ deluge
150,43.776,40,15,dry w/ deluge
150,42.315,45,15,dry w/ deluge
150,40.854,50,15,dry w/ deluge
150,36.456,55,15,dry w/ deluge
150,32.058,60,15,dry w/ deluge
150,28.136,65,15,dry w/ deluge
150,24.214,70,15,dry w/ deluge
150,25.681,75,15,dry w/ deluge
150,27.148,80,15,dry w/ deluge
150,27.371,85,15,dry w/ deluge
150,27.594,90,15,dry w/ deluge
151,33.322,10,15,dry w/ deluge
151,34.439,15,15,dry w/ deluge
151,35.556,20,15,dry w/ deluge
151,39.185,25,15,dry w/ deluge
151,42.814,30,15,dry w/ deluge
151,43.254,35,15,dry w/ deluge
151,43.694,40,15,dry w/ deluge
151,42.15,45,15,dry w/ deluge
151,40.606,50,15,dry w/ deluge
151,36.404,55,15,dry w/ deluge
151,32.202,60,15,dry w/ deluge
151,28.669,65,15,dry w/ deluge
151,25.136,70,15,dry w/ deluge
151,26.164,75,15,dry w/ deluge
151,27.192,80,15,dry w/ deluge
151,27.444,85,15,dry w/ deluge
151,27.696,90,15,dry w/ deluge
152,33.296,10,15,dry w/ deluge
152,34.632,15,15,dry w/ deluge
152,35.968,20,15,dry w/ deluge
152,39.33,25,15,dry w/ deluge
152,42.692,30,15,dry w/ deluge
152,43.152,35,15,dry w/ deluge
152,43.612,40,15,dry w/ deluge
152,41.985,45,15,dry w/ deluge
152,40.358,50,15,dry w/ deluge
152,36.352,55,15,dry w/ deluge
152,32.346,60,15,dry w/ deluge
152,29.202,65,15,dry w/ deluge
152,26.058,70,15,dry w/ deluge
152,26.647,75,15,dry w/ deluge
152,27.236,80,15,dry w/ deluge
152,27.517,85,15,dry w/ deluge
152,27.798,90,15,dry w/ deluge
153,33.27,10,15,dry w/ deluge
